"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;9,53925
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;70,33816
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;40,77292
"Nozay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;88,93803
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1155,19691
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;40,35679
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;500,36666
"Nozay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;289,53097
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;642,74397
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;376,40258
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;974,44657
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;1036,48371
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;882,5152
"Nozay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;19513,87414
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;3478,14347
"Palaiseau";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;4320,84032
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;269,19001
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;1448,84623
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;795,62992
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;3688,68131
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;878,53866
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;2483,53716
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;2734,61989
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;37,03304
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;980,40181
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1662,45186
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;412,76651
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1057,06487
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;968,23321
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;2239,80281
"Les Ulis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;328,68244
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;30922,82701
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;22965,84701
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;33685,93972
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;28680,20819
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;2001,15601
"Les Ulis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;3043,85021
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;394,71156
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;568,10197
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;154,89616
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;722,09842
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;2246,9094
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;555,42443
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;54,13551
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;0
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;565,74973
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;727,7868
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;367,49166
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;89,33387
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;278,64356
"Saclay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;303,45888
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;1023,47846
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;1177,57559
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1250,87517
"Verrières-le-Buisson";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;48,80921
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;299,14881
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;2455,96506
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;355,26704
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;816,01526
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;47,02982
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;0
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;672,21391
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;660,42473
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;780,68694
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;41,35245
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1599,72462
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;1397,92893
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;144,87344
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;2124,66489
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1381,581
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;25,92747
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;31,61342
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;10,16625
"Longjumeau";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;1359,66854
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1298,47925
"Longjumeau";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;2511,21429
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;20,01745
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;610,53209
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;655,57134
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;940,81994
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;295,25732
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;2271,44414
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;685,59751
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1435,08735
"Longjumeau";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;191,93485
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;515,11147
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1201,71735
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;150,03247
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;400,08658
"Marcoussis";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;721,0161
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;35,05009
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;420,09091
"Marcoussis";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;185,26476
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;10,00216
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;680,97317
"Marcoussis";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;635,90877
"Ballainvilliers";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;325,07035
"Linas";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;644,20703
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;95,45894
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;373,50977
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;35,16908
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;124,62204
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;134,53309
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;510,46681
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;695,16765
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;0
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;24,55725
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;60,28986
"Vauhallan";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;129,84543
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;180,86957
"Linas";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;798,7383
"Linas";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;228,00625
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;2205,50097
"Wissous";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;312,44281
"Orsay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;1165,35101
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;1291,07703
"Wissous";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;814,29512
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;33,87361
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;761,81071
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;537,65796
"Wissous";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;27,9488
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;2299,67028
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1398,1228
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;1695,58632
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;3362,46639
"Orsay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;50,23108
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;1741,17026
"Orsay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;1462,10159
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;1158,70817
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;681,65248
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;169,30446
"Villejust";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;112,34822
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;3576,38432
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;213,95088
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;221,62807
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;10,07725
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;779,39932
"Champlan";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;20,53812
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;214,63224
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;287,49534
"Massy";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;4089,90658
"Montlhéry";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;1267,4742
"Montlhéry";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;79,7735
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1840,15526
"Champlan";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;194,02114
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;778,32464
"Champlan";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;74,61793
"Montlhéry";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;482,48973
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;311,85494
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;257,26506
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;186,16747
"Massy";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;7027,24085
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;540,39855
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;328,33997
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;80,54197
"Massy";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;303,442
"Villejust";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;5,06235
"Villejust";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;112,70577
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;226,22494
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;6375,92225
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2022;886,99528
"Igny";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2022;19,25229
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;931,77078
"Igny";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2022;846,39971
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2022;1294,03589
"Igny";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2022;311,75972
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2022;410,8845