"Géographie";"Niveau Géo";"Type de ménage fiscal";"Mesures filosofi";"Unité de mesure";"Quantité d'unités (en puissance de 10)";"Statut de confidentialité";"Statut de l'observation";Période;Valeur
"Chilly-Mazarin";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;26
"Épinay-sur-Orge";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33360
"Saint-Aubin";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Chilly-Mazarin";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Nozay";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24710
"Saulx-les-Chartreux";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25160
"Gometz-le-Châtel";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23320
"Verrières-le-Buisson";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;21290
"Saclay";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Épinay-sur-Orge";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;8
"Palaiseau";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;20
"Gometz-le-Châtel";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32410
"Verrières-le-Buisson";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;41950
"Saclay";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29480
"Nozay";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33460
"Ballainvilliers";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Vauhallan";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Verrières-le-Buisson";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32360
"Saclay";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;35880
"Saclay";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saint-Aubin";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34170
"Gif-sur-Yvette";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;40400
"Vauhallan";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Nozay";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Épinay-sur-Orge";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;21670
"Marcoussis";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Champlan";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Chilly-Mazarin";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;18800
"Orsay";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;5
"Épinay-sur-Orge";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25280
"Saulx-les-Chartreux";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Longjumeau";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;21
"Wissous";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30460
"Saclay";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29880
"Nozay";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Chilly-Mazarin";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17
"Longjumeau";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;16
"Linas";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;20310
"Bures-sur-Yvette";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Igny";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27480
"Marcoussis";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;37650
"Linas";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32050
"Verrières-le-Buisson";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;38920
"Bures-sur-Yvette";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Massy";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23770
"Épinay-sur-Orge";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;18
"Nozay";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Vauhallan";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Palaiseau";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33940
"Marcoussis";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27470
"Vauhallan";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23330
"Saclay";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25280
"Massy";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24560
"Massy";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25180
"Saint-Aubin";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;36530
"Villejust";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Massy";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;15
"Montlhéry";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;10
"Vauhallan";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Chilly-Mazarin";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17
"Chilly-Mazarin";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22880
"Les Ulis";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;25
"La Ville-du-Bois";"Commune";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31270
"Épinay-sur-Orge";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27780
"Igny";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gometz-le-Châtel";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gif-sur-Yvette";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22990
"Palaiseau";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30770
"Wissous";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23330
"Palaiseau";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25220
"Verrières-le-Buisson";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;5
"Gif-sur-Yvette";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Ballainvilliers";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Vauhallan";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Ballainvilliers";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30590
"Montlhéry";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23710
"Villebon-sur-Yvette";"Commune";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25710
"Les Ulis";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;14
"Bures-sur-Yvette";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;18050
"Épinay-sur-Orge";"Commune";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Orsay";"Commune";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25400
"Villebon-sur-Yvette";"Commune";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25480
"Saint-Aubin";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;39060
"Massy";"Commune";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;27
"Bures-sur-Yvette";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;19250
"Linas";"Commune";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gif-sur-Yvette";"Commune";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29230
"Montlhéry";"Commune";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27940
"Verrières-le-Buisson";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Villejust";"Commune";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villiers-le-Bâcle";"Commune";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17,6
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme seule";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;11,7
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec couple et enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29180
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23930
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec famille monoparentale";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;20330
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme seul";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25130
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Femme seule";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24590
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec couple sans enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;5
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;11,3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec couple sans enfant";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33760
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec couple et enfant";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;9,5
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Homme seul";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;14,2
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Ménage avec famille monoparentale";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;21,3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27650